domain,url,platform,quality_score,has_products,product_count,ecom_signals,detected_payments,monthly_visits,source,tranco_rank,majestic_rank
www.usamm.com,https://www.usamm.com,shopify,80,True,0,5,,1511662,storeleads,,
in.nothing.tech,https://in.nothing.tech,shopify,80,True,0,5,,1508985,storeleads,,
www.byte.com,https://www.byte.com,shopify,80,True,0,5,,1508980,storeleads,,
us.ecoflow.com,https://us.ecoflow.com,shopify,80,True,0,5,,1508493,storeleads,,
www.pluckers.com,https://www.pluckers.com,shopify,80,True,0,5,,1503081,storeleads,,
www.channelmaster.com,https://www.channelmaster.com,shopify,80,True,0,5,,1499118,storeleads,,
osteopathic.org,https://osteopathic.org,shopify,80,True,0,5,,1496488,storeleads,,
kodiakcakes.com,https://kodiakcakes.com,shopify,80,True,0,5,,1491357,storeleads,,
www.masterbuilt.com,https://www.masterbuilt.com,shopify,80,True,0,5,,1488780,storeleads,,
wildgrain.com,https://wildgrain.com,shopify,80,True,0,5,,1487066,storeleads,,
www.rabanne.com,https://www.rabanne.com,shopify,80,True,0,5,,1486891,storeleads,,
www.striderite.com,https://www.striderite.com,shopify,80,True,0,5,,1486193,storeleads,,
